YEAR/MONTH|DEVICE_REPORT_PRODUCT_CODE|EVENT_TYPE
2004/09|NIQ|O|1
2004/10|MAF|D|5
2004/10|MAF|IN|38
2004/10|MAF|M|13
2004/10|MAF|O|1
2004/10|NIQ|*|1
2004/10|NIQ|D|37
2004/10|NIQ|IN|170
2004/10|NIQ|M|83
2004/10|NIQ|O|2
2004/11|MAF|D|2
2004/11|MAF|IN|41
2004/11|MAF|M|21
2004/11|MAF|O|1
2004/11|NIQ|D|44
2004/11|NIQ|IN|208
2004/11|NIQ|M|83
2004/12|MAF|*|1
2004/12|MAF|IN|36
2004/12|MAF|M|15
2004/12|MAF|O|2
2004/12|NIQ|D|60
2004/12|NIQ|IN|153
2004/12|NIQ|M|106
2004/12|NIQ|O|1
2005/01|MAF|*|3
2005/01|MAF|D|10
2005/01|MAF|IN|29
2005/01|MAF|M|21
2005/01|NIQ|D|76
2005/01|NIQ|IN|214
2005/01|NIQ|M|88
2005/01|NIQ|O|1
2005/02|MAF|D|3
2005/02|MAF|IN|35
2005/02|MAF|M|17
2005/02|MAF|O|1
2005/02|NIQ|*|1
2005/02|NIQ|D|56
2005/02|NIQ|IN|210
2005/02|NIQ|M|110
2005/03|MAF|D|8
2005/03|MAF|IN|41
2005/03|MAF|M|19
2005/03|MAF|O|1
2005/03|NIQ|*|1
2005/03|NIQ|D|62
2005/03|NIQ|IN|272
2005/03|NIQ|M|103
2005/04|MAF|D|6
2005/04|MAF|IN|36
2005/04|MAF|M|23
2005/04|NIQ|*|1
2005/04|NIQ|D|66
2005/04|NIQ|IN|222
2005/04|NIQ|M|114
2005/04|NIQ|O|2
2005/05|MAF|D|10
2005/05|MAF|IN|46
2005/05|MAF|M|22
2005/05|NIQ|*|5
2005/05|NIQ|D|63
2005/05|NIQ|IN|223
2005/05|NIQ|M|102
2005/05|NIQ|O|3
2005/06|MAF|D|5
2005/06|MAF|IN|47
2005/06|MAF|M|9
2005/06|MAF|O|2
2005/06|NIQ|*|4
2005/06|NIQ|D|50
2005/06|NIQ|IN|248
2005/06|NIQ|M|81
2005/06|NIQ|O|2
2005/07|MAF|D|7
2005/07|MAF|IN|48
2005/07|MAF|M|20
2005/07|NIQ|*|2
2005/07|NIQ|D|40
2005/07|NIQ|IN|216
2005/07|NIQ|M|88
2005/07|NIQ|O|2
2005/08|MAF|D|20
2005/08|MAF|IN|45
2005/08|MAF|M|12
2005/08|NIQ|*|4
2005/08|NIQ|D|75
2005/08|NIQ|IN|191
2005/08|NIQ|M|105
2005/08|NIQ|O|2
2005/09|MAF|D|18
2005/09|MAF|IN|48
2005/09|MAF|M|12
2005/09|NIQ|*|1
2005/09|NIQ|D|68
2005/09|NIQ|IN|215
2005/09|NIQ|M|128
2005/10|MAF|D|10
2005/10|MAF|IN|61
2005/10|MAF|M|13
2005/10|NIQ|*|4
2005/10|NIQ|D|51
2005/10|NIQ|IN|215
2005/10|NIQ|M|107
2005/10|NIQ|O|2
2005/11|MAF|D|6
2005/11|MAF|IN|51
2005/11|MAF|M|43
2005/11|NIQ|*|1
2005/11|NIQ|D|82
2005/11|NIQ|IN|221
2005/11|NIQ|M|116
2005/12|MAF|D|6
2005/12|MAF|IN|44
2005/12|MAF|M|25
2005/12|NIQ|*|4
2005/12|NIQ|D|76
2005/12|NIQ|IN|243
2005/12|NIQ|M|116
2005/12|NIQ|O|1
2006/01|MAF|*|2
2006/01|MAF|D|15
2006/01|MAF|IN|64
2006/01|MAF|M|32
2006/01|NIQ|*|4
2006/01|NIQ|D|84
2006/01|NIQ|IN|292
2006/01|NIQ|M|114
2006/02|MAF|*|1
2006/02|MAF|D|9
2006/02|MAF|IN|64
2006/02|MAF|M|34
2006/02|MAF|O|1
2006/02|NIQ|*|2
2006/02|NIQ|D|81
2006/02|NIQ|IN|368
2006/02|NIQ|M|150
2006/03|MAF|D|9
2006/03|MAF|IN|72
2006/03|MAF|M|38
2006/03|NIQ|*|3
2006/03|NIQ|D|73
2006/03|NIQ|IN|317
2006/03|NIQ|M|151
2006/03|NIQ|O|3
2006/04|MAF|D|10
